company_id,company,empathy,question_id,area,maturity,confidence,scope,evidence,notes,impact_signal,flags,supports,uncertain,important,carry_forward_actions
urbanrise,UrbanRise Developments,business,1,Strategy and Purpose,light,medium,Whole organisation,medium fixture evidence,"Project viability depends on cost, planning and delivery time; design decisions lock in impacts early.",Reduce embodied carbon and improve community value,"[""Strategically important""]","Project viability depends on cost, planning and delivery time; design decisions lock in impacts early.",Evidence quality varies by stage and stakeholder group.,Reduce embodied carbon and improve community value,"[""problem-signal"", ""impact-journey""]"
urbanrise,UrbanRise Developments,business,2,Finance and Investment,light,medium,Whole organisation,medium fixture evidence,Commercial pressure and cost constraints affect sustainability choices.,Financial constraint,"[""Strategically important""]",Commercial pressure and cost constraints affect sustainability choices.,Evidence quality varies by stage and stakeholder group.,Financial constraint,"[""problem-signal"", ""impact-journey""]"
urbanrise,UrbanRise Developments,business,3,Operations and Delivery,light,medium,Whole organisation,medium fixture evidence,Operational routines and incentives shape delivery choices.,Operational leverage,"[""Strategically important""]",Operational routines and incentives shape delivery choices.,Evidence quality varies by stage and stakeholder group.,Operational leverage,"[""problem-signal"", ""impact-journey""]"
urbanrise,UrbanRise Developments,human,17,Stakeholder Power,light,medium,Whole organisation,medium fixture evidence,"Communities, future occupants and workers experience project decisions, but community voices often arrive late.",Power and participation imbalance,"[""Strategically important""]","Communities, future occupants and workers experience project decisions, but community voices often arrive late.",Evidence quality varies by stage and stakeholder group.,Power and participation imbalance,"[""problem-signal"", ""impact-journey""]"
urbanrise,UrbanRise Developments,human,18,Capability and Behaviour,light,medium,Whole organisation,medium fixture evidence,"People need clearer roles, evidence and confidence to participate.",Capability gap,"[""Strategically important""]","People need clearer roles, evidence and confidence to participate.",Evidence quality varies by stage and stakeholder group.,Capability gap,"[""problem-signal"", ""impact-journey""]"
urbanrise,UrbanRise Developments,human,19,Equity and Wellbeing,light,medium,Whole organisation,medium fixture evidence,Some groups experience impacts without strong decision power.,Fairness risk,"[""Strategically important""]",Some groups experience impacts without strong decision power.,Evidence quality varies by stage and stakeholder group.,Fairness risk,"[""problem-signal"", ""impact-journey""]"
urbanrise,UrbanRise Developments,planetary,30,Environmental Impact,light,medium,Whole organisation,medium fixture evidence,"Concrete, steel, site selection, operational energy, waste and end-of-life adaptability drive impacts.",Material environmental impact,"[""Strategically important""]","Concrete, steel, site selection, operational energy, waste and end-of-life adaptability drive impacts.",Evidence quality varies by stage and stakeholder group.,Material environmental impact,"[""problem-signal"", ""impact-journey""]"
urbanrise,UrbanRise Developments,planetary,31,Natural Dependencies,light,medium,Whole organisation,medium fixture evidence,"The organisation depends on stable resources, suppliers and operating conditions.",Dependency risk,"[""Strategically important""]","The organisation depends on stable resources, suppliers and operating conditions.",Evidence quality varies by stage and stakeholder group.,Dependency risk,"[""problem-signal"", ""impact-journey""]"
urbanrise,UrbanRise Developments,planetary,32,Evidence and Limits,light,medium,Whole organisation,medium fixture evidence,Some lifecycle impacts remain poorly evidenced.,Evidence gap,"[""Strategically important""]",Some lifecycle impacts remain poorly evidenced.,Evidence quality varies by stage and stakeholder group.,Evidence gap,"[""problem-signal"", ""impact-journey""]"
cloudspring,CloudSpring Technologies,business,1,Strategy and Purpose,light,low,Whole organisation,low fixture evidence,Growth depends on computing capacity; AI increases cost and energy demand while customers ask for evidence.,Understand environmental impact of digital products,"[""Strategically important"", ""Review later""]",Growth depends on computing capacity; AI increases cost and energy demand while customers ask for evidence.,Evidence quality varies by stage and stakeholder group.,Understand environmental impact of digital products,"[""problem-signal"", ""impact-journey""]"
cloudspring,CloudSpring Technologies,business,2,Finance and Investment,light,low,Whole organisation,low fixture evidence,Commercial pressure and cost constraints affect sustainability choices.,Financial constraint,"[""Strategically important"", ""Review later""]",Commercial pressure and cost constraints affect sustainability choices.,Evidence quality varies by stage and stakeholder group.,Financial constraint,"[""problem-signal"", ""impact-journey""]"
cloudspring,CloudSpring Technologies,business,3,Operations and Delivery,light,low,Whole organisation,low fixture evidence,Operational routines and incentives shape delivery choices.,Operational leverage,"[""Strategically important"", ""Review later""]",Operational routines and incentives shape delivery choices.,Evidence quality varies by stage and stakeholder group.,Operational leverage,"[""problem-signal"", ""impact-journey""]"
cloudspring,CloudSpring Technologies,human,17,Stakeholder Power,light,low,Whole organisation,low fixture evidence,Engineers influence architecture; sales need claim guidance and customers cannot easily see product footprint.,Power and participation imbalance,"[""Strategically important"", ""Review later""]",Engineers influence architecture; sales need claim guidance and customers cannot easily see product footprint.,Evidence quality varies by stage and stakeholder group.,Power and participation imbalance,"[""problem-signal"", ""impact-journey""]"
cloudspring,CloudSpring Technologies,human,18,Capability and Behaviour,light,low,Whole organisation,low fixture evidence,"People need clearer roles, evidence and confidence to participate.",Capability gap,"[""Strategically important"", ""Review later""]","People need clearer roles, evidence and confidence to participate.",Evidence quality varies by stage and stakeholder group.,Capability gap,"[""problem-signal"", ""impact-journey""]"
cloudspring,CloudSpring Technologies,human,19,Equity and Wellbeing,light,low,Whole organisation,low fixture evidence,Some groups experience impacts without strong decision power.,Fairness risk,"[""Strategically important"", ""Review later""]",Some groups experience impacts without strong decision power.,Evidence quality varies by stage and stakeholder group.,Fairness risk,"[""problem-signal"", ""impact-journey""]"
cloudspring,CloudSpring Technologies,planetary,30,Environmental Impact,light,low,Whole organisation,low fixture evidence,"Indirect electricity, data-centre water, hardware, AI workloads, e-waste and efficient software are central.",Material environmental impact,"[""Strategically important"", ""Review later""]","Indirect electricity, data-centre water, hardware, AI workloads, e-waste and efficient software are central.",Evidence quality varies by stage and stakeholder group.,Material environmental impact,"[""problem-signal"", ""impact-journey""]"
cloudspring,CloudSpring Technologies,planetary,31,Natural Dependencies,light,low,Whole organisation,low fixture evidence,"The organisation depends on stable resources, suppliers and operating conditions.",Dependency risk,"[""Strategically important"", ""Review later""]","The organisation depends on stable resources, suppliers and operating conditions.",Evidence quality varies by stage and stakeholder group.,Dependency risk,"[""problem-signal"", ""impact-journey""]"
cloudspring,CloudSpring Technologies,planetary,32,Evidence and Limits,light,low,Whole organisation,low fixture evidence,Some lifecycle impacts remain poorly evidenced.,Evidence gap,"[""Strategically important"", ""Review later""]",Some lifecycle impacts remain poorly evidenced.,Evidence quality varies by stage and stakeholder group.,Evidence gap,"[""problem-signal"", ""impact-journey""]"
loophome,LoopHome Circular Services,business,1,Strategy and Purpose,light,low,Whole organisation,low fixture evidence,"Profit depends on repair cost, lifetime and retention; investors expect rapid growth and impact evidence.",Verify whether the circular business model creates genuine environmental benefit,"[""Strategically important"", ""Review later""]","Profit depends on repair cost, lifetime and retention; investors expect rapid growth and impact evidence.",Evidence quality varies by stage and stakeholder group.,Verify whether the circular business model creates genuine environmental benefit,"[""problem-signal"", ""impact-journey""]"
loophome,LoopHome Circular Services,business,2,Finance and Investment,light,low,Whole organisation,low fixture evidence,Commercial pressure and cost constraints affect sustainability choices.,Financial constraint,"[""Strategically important"", ""Review later""]",Commercial pressure and cost constraints affect sustainability choices.,Evidence quality varies by stage and stakeholder group.,Financial constraint,"[""problem-signal"", ""impact-journey""]"
loophome,LoopHome Circular Services,business,3,Operations and Delivery,light,low,Whole organisation,low fixture evidence,Operational routines and incentives shape delivery choices.,Operational leverage,"[""Strategically important"", ""Review later""]",Operational routines and incentives shape delivery choices.,Evidence quality varies by stage and stakeholder group.,Operational leverage,"[""problem-signal"", ""impact-journey""]"
loophome,LoopHome Circular Services,human,17,Stakeholder Power,light,low,Whole organisation,low fixture evidence,"Repair technicians are overloaded, customers value convenience and investors influence expansion speed.",Power and participation imbalance,"[""Strategically important"", ""Review later""]","Repair technicians are overloaded, customers value convenience and investors influence expansion speed.",Evidence quality varies by stage and stakeholder group.,Power and participation imbalance,"[""problem-signal"", ""impact-journey""]"
loophome,LoopHome Circular Services,human,18,Capability and Behaviour,light,low,Whole organisation,low fixture evidence,"People need clearer roles, evidence and confidence to participate.",Capability gap,"[""Strategically important"", ""Review later""]","People need clearer roles, evidence and confidence to participate.",Evidence quality varies by stage and stakeholder group.,Capability gap,"[""problem-signal"", ""impact-journey""]"
loophome,LoopHome Circular Services,human,19,Equity and Wellbeing,light,low,Whole organisation,low fixture evidence,Some groups experience impacts without strong decision power.,Fairness risk,"[""Strategically important"", ""Review later""]",Some groups experience impacts without strong decision power.,Evidence quality varies by stage and stakeholder group.,Fairness risk,"[""problem-signal"", ""impact-journey""]"
loophome,LoopHome Circular Services,planetary,30,Environmental Impact,light,low,Whole organisation,low fixture evidence,"Reuse may avoid new manufacturing, but older appliance energy, logistics and rebound effects may undermine benefit.",Material environmental impact,"[""Strategically important"", ""Review later""]","Reuse may avoid new manufacturing, but older appliance energy, logistics and rebound effects may undermine benefit.",Evidence quality varies by stage and stakeholder group.,Material environmental impact,"[""problem-signal"", ""impact-journey""]"
loophome,LoopHome Circular Services,planetary,31,Natural Dependencies,light,low,Whole organisation,low fixture evidence,"The organisation depends on stable resources, suppliers and operating conditions.",Dependency risk,"[""Strategically important"", ""Review later""]","The organisation depends on stable resources, suppliers and operating conditions.",Evidence quality varies by stage and stakeholder group.,Dependency risk,"[""problem-signal"", ""impact-journey""]"
loophome,LoopHome Circular Services,planetary,32,Evidence and Limits,light,low,Whole organisation,low fixture evidence,Some lifecycle impacts remain poorly evidenced.,Evidence gap,"[""Strategically important"", ""Review later""]",Some lifecycle impacts remain poorly evidenced.,Evidence quality varies by stage and stakeholder group.,Evidence gap,"[""problem-signal"", ""impact-journey""]"
citymotion,CityMotion Transit Authority,business,1,Strategy and Purpose,light,high,Whole organisation,high fixture evidence,"Reliability, affordability and ridership create public value; fleet changes need large capital and long procurement.",Develop a fair low-carbon fleet transition,"[""Strategically important""]","Reliability, affordability and ridership create public value; fleet changes need large capital and long procurement.",Evidence quality varies by stage and stakeholder group.,Develop a fair low-carbon fleet transition,"[""problem-signal"", ""impact-journey""]"
citymotion,CityMotion Transit Authority,business,2,Finance and Investment,light,high,Whole organisation,high fixture evidence,Commercial pressure and cost constraints affect sustainability choices.,Financial constraint,"[""Strategically important""]",Commercial pressure and cost constraints affect sustainability choices.,Evidence quality varies by stage and stakeholder group.,Financial constraint,"[""problem-signal"", ""impact-journey""]"
citymotion,CityMotion Transit Authority,business,3,Operations and Delivery,light,high,Whole organisation,high fixture evidence,Operational routines and incentives shape delivery choices.,Operational leverage,"[""Strategically important""]",Operational routines and incentives shape delivery choices.,Evidence quality varies by stage and stakeholder group.,Operational leverage,"[""problem-signal"", ""impact-journey""]"
citymotion,CityMotion Transit Authority,human,17,Stakeholder Power,light,high,Whole organisation,high fixture evidence,"Passengers include vulnerable groups; drivers, technicians, unions and communities are strongly affected.",Power and participation imbalance,"[""Strategically important""]","Passengers include vulnerable groups; drivers, technicians, unions and communities are strongly affected.",Evidence quality varies by stage and stakeholder group.,Power and participation imbalance,"[""problem-signal"", ""impact-journey""]"
citymotion,CityMotion Transit Authority,human,18,Capability and Behaviour,light,high,Whole organisation,high fixture evidence,"People need clearer roles, evidence and confidence to participate.",Capability gap,"[""Strategically important""]","People need clearer roles, evidence and confidence to participate.",Evidence quality varies by stage and stakeholder group.,Capability gap,"[""problem-signal"", ""impact-journey""]"
citymotion,CityMotion Transit Authority,human,19,Equity and Wellbeing,light,high,Whole organisation,high fixture evidence,Some groups experience impacts without strong decision power.,Fairness risk,"[""Strategically important""]",Some groups experience impacts without strong decision power.,Evidence quality varies by stage and stakeholder group.,Fairness risk,"[""problem-signal"", ""impact-journey""]"
citymotion,CityMotion Transit Authority,planetary,30,Environmental Impact,light,high,Whole organisation,high fixture evidence,"Diesel emissions, battery supply chains, infrastructure, air quality, flooding and heat resilience are central.",Material environmental impact,"[""Strategically important""]","Diesel emissions, battery supply chains, infrastructure, air quality, flooding and heat resilience are central.",Evidence quality varies by stage and stakeholder group.,Material environmental impact,"[""problem-signal"", ""impact-journey""]"
citymotion,CityMotion Transit Authority,planetary,31,Natural Dependencies,light,high,Whole organisation,high fixture evidence,"The organisation depends on stable resources, suppliers and operating conditions.",Dependency risk,"[""Strategically important""]","The organisation depends on stable resources, suppliers and operating conditions.",Evidence quality varies by stage and stakeholder group.,Dependency risk,"[""problem-signal"", ""impact-journey""]"
citymotion,CityMotion Transit Authority,planetary,32,Evidence and Limits,light,high,Whole organisation,high fixture evidence,Some lifecycle impacts remain poorly evidenced.,Evidence gap,"[""Strategically important""]",Some lifecycle impacts remain poorly evidenced.,Evidence quality varies by stage and stakeholder group.,Evidence gap,"[""problem-signal"", ""impact-journey""]"
medigen,Medigen Laboratories,business,1,Strategy and Purpose,mid,high,Whole organisation,high fixture evidence,"Patient safety, product quality, R&D uncertainty, cold-chain reliability and access to medicines shape decisions.",Reduce laboratory impact while preserving safety and product quality,"[""Strategically important""]","Patient safety, product quality, R&D uncertainty, cold-chain reliability and access to medicines shape decisions.",Evidence quality varies by stage and stakeholder group.,Reduce laboratory impact while preserving safety and product quality,"[""problem-signal"", ""impact-journey""]"
medigen,Medigen Laboratories,business,2,Finance and Investment,mid,high,Whole organisation,high fixture evidence,Commercial pressure and cost constraints affect sustainability choices.,Financial constraint,"[""Strategically important""]",Commercial pressure and cost constraints affect sustainability choices.,Evidence quality varies by stage and stakeholder group.,Financial constraint,"[""problem-signal"", ""impact-journey""]"
medigen,Medigen Laboratories,business,3,Operations and Delivery,mid,high,Whole organisation,high fixture evidence,Operational routines and incentives shape delivery choices.,Operational leverage,"[""Strategically important""]",Operational routines and incentives shape delivery choices.,Evidence quality varies by stage and stakeholder group.,Operational leverage,"[""problem-signal"", ""impact-journey""]"
medigen,Medigen Laboratories,human,17,Stakeholder Power,mid,high,Whole organisation,high fixture evidence,Patients depend on safe products; scientists need flexibility and communities may be affected by waste and water.,Power and participation imbalance,"[""Strategically important""]",Patients depend on safe products; scientists need flexibility and communities may be affected by waste and water.,Evidence quality varies by stage and stakeholder group.,Power and participation imbalance,"[""problem-signal"", ""impact-journey""]"
medigen,Medigen Laboratories,human,18,Capability and Behaviour,mid,high,Whole organisation,high fixture evidence,"People need clearer roles, evidence and confidence to participate.",Capability gap,"[""Strategically important""]","People need clearer roles, evidence and confidence to participate.",Evidence quality varies by stage and stakeholder group.,Capability gap,"[""problem-signal"", ""impact-journey""]"
medigen,Medigen Laboratories,human,19,Equity and Wellbeing,mid,high,Whole organisation,high fixture evidence,Some groups experience impacts without strong decision power.,Fairness risk,"[""Strategically important""]",Some groups experience impacts without strong decision power.,Evidence quality varies by stage and stakeholder group.,Fairness risk,"[""problem-signal"", ""impact-journey""]"
medigen,Medigen Laboratories,planetary,30,Environmental Impact,mid,high,Whole organisation,high fixture evidence,"Laboratories, solvents, hazardous waste, cold-chain logistics, water and medicine disposal create impacts.",Material environmental impact,"[""Strategically important""]","Laboratories, solvents, hazardous waste, cold-chain logistics, water and medicine disposal create impacts.",Evidence quality varies by stage and stakeholder group.,Material environmental impact,"[""problem-signal"", ""impact-journey""]"
medigen,Medigen Laboratories,planetary,31,Natural Dependencies,mid,high,Whole organisation,high fixture evidence,"The organisation depends on stable resources, suppliers and operating conditions.",Dependency risk,"[""Strategically important""]","The organisation depends on stable resources, suppliers and operating conditions.",Evidence quality varies by stage and stakeholder group.,Dependency risk,"[""problem-signal"", ""impact-journey""]"
medigen,Medigen Laboratories,planetary,32,Evidence and Limits,mid,high,Whole organisation,high fixture evidence,Some lifecycle impacts remain poorly evidenced.,Evidence gap,"[""Strategically important""]",Some lifecycle impacts remain poorly evidenced.,Evidence quality varies by stage and stakeholder group.,Evidence gap,"[""problem-signal"", ""impact-journey""]"
